Single-threaded,,,2-threads,,,4-threads,,,,,,,,,,,
,,,,,,,,,Speedup Single - 2 Threads,,,Speedup Single - 4 Threads,,,Speedup 2 - 4 threads,,
4294867390,5.231,,4294867390,1.7173,,4294867390,2.7834,,,3.046060677,,,1.879356183,,,0.616979234,
4294867391,4.9771,,4294867391,1.5439,,4294867391,1.7943,,,3.223719153,,,2.77383938,,,0.860446971,
4294867392,3.9345,,4294867392,0.6267,,4294867392,1.2101,,,6.278123504,,,3.251384183,,,0.517891083,
4294867393,6.8786,,4294867393,0.9927,,4294867393,1.6616,,,6.929183036,,,4.139744824,,,0.597436206,
4294867394,1.811,,4294867394,0.8639,,4294867394,1.4433,,,2.096307443,,,1.254763389,,,0.598558858,
4294867395,5.1186,,4294867395,0.9211,,4294867395,1.6268,,,5.557051352,,,3.146422424,,,0.56620359,
4294867396,3.5993,,4294867396,2.6625,,4294867396,1.1234,,,1.351849765,,,3.203934485,,,2.370037387,
4294867397,3.1604,,4294867397,0.6147,,4294867397,1.3181,,,5.141369774,,,2.39769365,,,0.466353084,
4294867398,2.0586,,4294867398,0.8171,,4294867398,1.1405,,,2.519397871,,,1.804997808,,,0.716440158,
4294867399,4.9099,,4294867399,1.1396,,4294867399,2.1802,,,4.308441558,,,2.252041097,,,0.522704339,
4294867400,8.0663,,4294867400,1.5228,,4294867400,2.7832,,,5.29701865,,,2.898210693,,,0.547139983,
4294867401,4.994,,4294867401,0.5667,,4294867401,1.0297,,,8.812422799,,,4.849956298,,,0.550354472,
4294867402,5.7842,,4294867402,1.2914,,4294867402,2.4177,,,4.479015022,,,2.392439095,,,0.534144021,
4294867403,7.3973,,4294867403,0.8677,,4294867403,1.5985,,,8.525181514,,,4.627650923,,,0.542821395,
4294867404,3.4235,,4294867404,0.5378,,4294867404,1.2055,,,6.365749349,,,2.839900456,,,0.446121941,
4294867405,1.4129,,4294867405,0.6718,,4294867405,1.1712,,,2.103155701,,,1.206369536,,,0.573599727,
4294867406,1.7481,,4294867406,0.9296,,4294867406,1.3797,,,1.880486231,,,1.267014568,,,0.67376966,
