Single Threaded,,,Multi-Threaded,,,
Number,Time to complete (ms),,Number,Time to complete (ms),,
1227,0.8329,,1227,0.6043,,1.378288929
1228,0.7807,,1228,0.5725,,1.363668122
1229,0.6344,,1229,0.585,,1.084444444
1230,0.6834,,1230,0.6247,,1.093965103
1231,1.5912,,1231,1.476,,1.07804878
1232,1.4173,,1232,1.0965,,1.292567259
1233,0.6758,,1233,0.6358,,1.062912866
1234,1.2627,,1234,0.5337,,2.365935919
1235,1.5398,,1235,1.1862,,1.298094756
1236,0.6411,,1236,0.6264,,1.023467433
1237,0.7091,,1237,0.5727,,1.238170072
1238,1.2406,,1238,0.5622,,2.206688011
1239,1.5035,,1239,1.1389,,1.320133462
1240,0.8357,,1240,0.5756,,1.451876303
1241,2.3339,,1241,1.1728,,1.990023874
1242,0.7991,,1242,0.5898,,1.354866056
1243,2.1177,,1243,1.0057,,2.105697524
1244,0.7689,,1244,0.5516,,1.393944888
1245,1.307,,1245,0.5396,,2.422164566
1246,2.6218,,1246,1.107,,2.368383017
1247,1.7668,,1247,1.191,,1.483459278
1248,2.3374,,1248,0.5488,,4.259110787
1249,0.6716,,1249,0.5357,,1.253686765
1250,0.0098,,1250,0.0072,,1.361111111
1251,1.4575,,1251,0.5657,,2.576453951
1252,0.9432,,1252,0.6744,,1.398576512
